order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,total_amount,status,payment_method,channel,shipping_days,notes
1,83,49,2024-05-15,16,1885.63,,5821.62,Processing,PayPal,Mobile,5,Bulk order
2,53,3,2024-03-07,15,1736.73,10,1888.73,Pending,Crypto,In-Store,,
3,52,50,2023-02-07,15,1823.42,5,7105.26,Cancelled,PayPal,Email Campaign,,
4,68,38,2022-04-15,1,1420.83,10,22911.35,Pending,Bank Transfer,Mobile,6,
5,138,23,2022-01-19,7,665.48,15,36180.81,Processing,PayPal,In-Store,4,
6,139,2,2023-01-30,12,1019.93,0,6704.12,Cancelled,Credit Card,Mobile,28,
7,27,54,N/A,14,1879.8,,31770.65,,PayPal,Partner API,14,
8,100,,2024-10-26,-9999,,10,11267.88,Completed,Crypto,Web,5,
9,140,41,2022-01-11,12,27.24,20,37879.71,Pending,Bank Transfer,Email Campaign,20,Promo applied
10,30,52,2022-05-30,2,1865.08,0,7904.73,Refunded,Bank Transfer,Mobile,29,
11,125,40,2023-10-04,19,1135.89,5,25637.13,Refunded,Bank Transfer,In-Store,12,Duplicate??
12,142,42,2022-06-06,9,284.3,0,25268.74,Cancelled,Crypto,Mobile,18,Duplicate??
13,39,15,2024-01-16,19,585.54,5,32263.54,Processing,PayPal,Mobile,19,
14,38,31,2023-02-28,2,-9999,15,36716.9,Cancelled,Credit Card,In-Store,21,Bulk order
15,149,12,2023-04-02,13,1308.41,15,13807.84,Processing,Credit Card,Mobile,17,
16,55,11,2024-09-07,4,832.15,0,16441.86,Completed,PayPal,Mobile,29,
17,15,60,2023-03-20,13,,25,6830.97,Cancelled,PayPal,Mobile,6,
18,88,39,2024-10-29,8,,0,7105.11,Processing,Credit Card,Email Campaign,,
19,34,35,2024-09-14,14,,20,32186.8,Processing,Credit Card,In-Store,28,
20,140,,2023-10-09,1,,0,26066.52,Pending,Crypto,Email Campaign,25,
21,142,31,2024-03-26,18,511.29,0,17869.33,Cancelled,PayPal,Email Campaign,18,
22,14,,2023-03-31,3,945.98,0,37228.09,N/A,Bank Transfer,N/A,6,
23,,55,2022-12-14,17,72.05,15,21.49,Processing,Bank Transfer,In-Store,7,
24,18,36,2023-02-03,18,699.45,20,10451.69,Cancelled,Credit Card,Email Campaign,26,
25,66,53,2024-07-28,9,1932.28,0,10320.21,Pending,PayPal,Mobile,12,
26,3,17,2024-09-02,3,1498.83,5,10770.34,Processing,PayPal,Mobile,9,
27,52,54,2022-03-28,5,-9999,15,19698.69,Refunded,Bank Transfer,Email Campaign,19,
28,135,31,2022-09-04,2,790.47,25,346.66,Pending,Crypto,In-Store,6,
29,61,40,2024-03-31,6,425.01,0,39171.11,Cancelled,Credit Card,Mobile,7,
30,39,1,2024-09-23,16,1787.07,0,-9999,Processing,Bank Transfer,Web,12,
31,143,17,2022-12-24,14,1735.4,10,26930.98,Pending,Crypto,Partner API,5,VIP customer
32,108,37,2024-03-20,3,690.53,25,37551.41,Cancelled,Crypto,Mobile,,
33,65,45,2022-02-23,7,-9999,-9999,-9999,Refunded,Crypto,Mobile,5,
34,-9999,43,2022-10-04,11,937.05,0,18267.17,Cancelled,Crypto,Email Campaign,18,
35,23,24,2024-08-18,5,5.18,25,,Pending,Crypto,Email Campaign,,
36,106,28,2024-05-14,6,1293.75,10,29719.65,Pending,Crypto,Web,21,
37,116,40,2023-08-01,,104.02,25,9320.09,Pending,Crypto,Partner API,12,
38,9,54,2023-05-28,-9999,-9999,0,30728.15,Refunded,Crypto,Web,4,
39,54,44,2023-06-03,11,1457.83,10,35501.91,Processing,PayPal,Mobile,6,Customer complained
40,102,1,2023-05-25,19,953.17,0,13543.5,Cancelled,N/A,Mobile,5,
41,82,51,2022-10-03,12,880.24,0,17505.63,Refunded,Crypto,Mobile,15,
42,142,34,2023-01-15,10,1085.5,15,9559.07,Processing,Crypto,Partner API,10,
43,83,34,2023-01-28,2,263.9,20,21037.6,Pending,,Mobile,,Promo applied
44,126,54,2022-04-30,2,1488.24,10,29374.67,Cancelled,Credit Card,Email Campaign,18,
45,50,16,2024-07-28,6,1118.49,20,6680.7,Processing,Crypto,Mobile,30,
46,81,21,2023-03-15,14,864.02,10,18101.61,Processing,Credit Card,In-Store,29,
47,77,14,2022-11-13,1,1886.98,25,5544.94,Processing,PayPal,In-Store,30,
48,20,51,N/A,16,1380.74,-9999,2246.35,Completed,Bank Transfer,Partner API,28,Late delivery
49,-9999,-9999,2024-03-15,18,657.03,0,11598.42,N/A,PayPal,Partner API,,
50,22,28,2023-02-06,5,964.44,5,10657.62,Refunded,Credit Card,Partner API,11,
51,7,11,2023-04-24,20,1606.58,15,-9999,N/A,Credit Card,Email Campaign,27,
52,88,8,2023-06-14,,421.97,0,26733.74,Pending,Credit Card,Web,20,
53,120,1,2024-03-02,9,1826.17,20,28390.46,,Crypto,Email Campaign,15,
54,-9999,60,2023-09-12,11,,10,25035.44,Cancelled,Credit Card,In-Store,13,
55,23,34,2023-10-02,20,1374.61,15,5279.57,Processing,PayPal,In-Store,30,
56,38,37,2022-10-26,-9999,1068.26,15,16567.47,Pending,Crypto,In-Store,5,
57,69,40,2024-08-18,8,-9999,15,15504.54,Refunded,PayPal,Web,30,
58,106,43,2023-10-28,-9999,1854.57,5,31050.83,Processing,Crypto,Partner API,20,
59,10,29,2024-11-23,2,495.21,0,17587.76,Completed,Bank Transfer,Partner API,23,
60,37,42,2024-04-26,17,1558.57,0,23616.72,Processing,PayPal,Web,30,
61,42,8,2022-11-24,15,175.19,,6843.69,Processing,PayPal,Mobile,14,
62,115,12,2024-10-18,5,12.05,0,19743.74,Completed,Crypto,N/A,8,Bulk order
63,143,-9999,2023-09-04,-9999,701.29,,16684.11,Completed,Bank Transfer,Email Campaign,15,
64,93,6,2022-05-13,11,-9999,0,34377.72,Refunded,Crypto,Mobile,,
65,136,31,2023-06-16,20,1972.63,15,24575.46,Processing,Crypto,Mobile,10,Late delivery
66,-9999,41,,7,1997.98,5,-9999,Cancelled,Bank Transfer,In-Store,,
67,102,40,2022-03-14,6,1668.48,25,18430.11,Refunded,Bank Transfer,Partner API,,
68,145,21,2022-11-02,1,1372.56,0,15015.88,N/A,PayPal,Partner API,,Bulk order
69,81,18,2023-09-12,16,746.31,15,31113.84,Cancelled,Crypto,Partner API,11,Bulk order
70,84,56,2024-12-05,17,269.77,10,27485.22,Refunded,Credit Card,Web,24,
71,148,41,2023-07-13,11,576.7,10,38332.34,Refunded,Credit Card,In-Store,23,Promo applied
72,44,40,2022-04-21,18,264.5,20,23848.89,Completed,Crypto,In-Store,25,
73,137,60,2023-09-28,15,190.37,25,37898.46,Refunded,Bank Transfer,Partner API,11,VIP customer
74,117,5,2022-09-18,12,1692.3,20,31872.34,Cancelled,Credit Card,Email Campaign,8,
75,141,31,2023-12-02,11,1389.65,5,26787.51,Refunded,Crypto,Email Campaign,27,
76,79,5,2022-10-12,20,760.93,0,26438.65,Completed,Bank Transfer,Email Campaign,29,
77,146,44,2024-11-11,14,1830.66,0,2505.8,,,Email Campaign,28,
78,8,45,2024-08-30,11,815.04,20,14417.91,Pending,Bank Transfer,Mobile,,
79,125,9,2024-07-19,14,1787.7,25,9037.38,Refunded,Credit Card,Mobile,30,
80,-9999,3,2024-12-14,12,965.66,10,3138.6,Pending,Credit Card,Web,19,
81,14,35,2023-08-27,16,1812.58,0,23909.48,Cancelled,N/A,Partner API,22,Late delivery
82,74,9,2022-08-17,9,1233.52,0,14796.98,,PayPal,Email Campaign,3,Damaged
83,127,27,N/A,8,1453.37,10,4648.61,Processing,Crypto,Partner API,18,
84,100,10,2022-03-26,,1854.81,15,17277.12,Cancelled,Bank Transfer,In-Store,19,
85,62,38,2022-01-18,17,1382.11,0,21015.32,,Bank Transfer,In-Store,,
