ticket_id,customer_id,order_id,type,priority,created_date,resolved_date,agent_id,resolution,satisfaction_score,response_time_hrs
1,12,126,Returns,Critical,2022-09-17,2023-07-03,,Open,3,86.2
2,142,270,Returns,N/A,2024-06-27,2024-09-28,12,Closed - No Action,,13.6
3,54,73,Billing,Critical,2023-04-18,2024-11-04,,Resolved,3,-9999
4,,,N/A,Medium,2023-07-26,2024-08-22,,,1,87.4
5,56,,Account,Critical,2023-11-20,2024-04-02,,Resolved,3,82.5
6,133,240,Technical,Low,2024-08-07,2024-12-30,-9999,Open,,
7,4,165,Returns,Critical,2023-07-16,2024-03-28,,Escalated,2,39.5
8,142,,Technical,High,2022-06-12,,4,Open,2,
9,-9999,32,Returns,Low,2024-11-03,2024-12-10,6,Resolved,,7.9
10,53,,General,Critical,2024-11-12,,6,Escalated,3,45.5
11,12,,,Medium,2022-03-05,,13,Escalated,5,3.6
12,20,290,Account,Critical,2024-02-20,2024-03-31,15,Resolved,5,42.6
13,63,119,General,Low,2023-08-24,2024-02-08,15,Resolved,3,62.9
14,146,276,Technical,Critical,2024-07-08,2024-09-04,10,Escalated,,39.5
15,51,8,Technical,High,2022-10-31,2024-08-08,8,Open,1,66.4
16,100,,General,Medium,2022-09-29,2024-03-24,15,Escalated,1,7.5
17,116,245,Technical,Low,,2024-12-16,10,Closed - No Action,5,69.5
18,127,269,Account,Critical,2022-07-18,,13,,2,41.6
19,73,,General,Medium,2023-10-06,,10,Open,,20.3
20,11,100,Billing,Low,2022-12-12,,10,Closed - No Action,3,88.2
21,127,143,Billing,Low,2022-09-03,2023-11-19,2,Escalated,5,-9999
22,111,267,Returns,Low,2023-10-07,2023-10-26,4,Closed - No Action,,19.2
23,128,,Billing,,2024-09-19,2024-12-21,9,,5,36.8
24,47,150,General,Critical,2023-12-16,2024-11-16,-9999,Resolved,3,40.6
25,46,,Billing,Critical,2023-05-22,2023-09-17,8,Closed - No Action,1,28.3
26,83,,General,Critical,2024-04-17,,5,Open,3,43.2
27,29,169,Technical,Low,N/A,2024-09-08,-9999,Escalated,5,
28,41,,Technical,Medium,2023-03-08,2023-09-27,4,Open,,2.4
29,-9999,,Billing,,2022-07-29,2024-10-16,14,Closed - No Action,3,-9999
30,,278,Account,Low,2024-10-30,2024-12-17,4,Escalated,1,29.4
31,148,,Billing,Critical,2022-07-24,,15,Open,4,91.4
